Team,GP,W,L,W%,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
Atlanta Hawks,82,44,38,53.7,48.1,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,19.0,18.5,95.0,-0.8
Boston Celtics,82,56,26,68.3,48.2,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,96.5,5.4
Charlotte Bobcats,82,34,48,41.5,48.3,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6.0,20.0,21.1,93.3,-4.0
Chicago Bulls,82,62,20,75.6,48.4,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,20.0,20.1,98.6,7.3
Cleveland Cavaliers,82,19,63,23.2,48.2,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,20.1,21.3,95.5,-9.0
Dallas Mavericks,82,57,25,69.5,48.1,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,14.0,6.8,4.3,3.7,19.2,20.1,100.2,4.2
Denver Nuggets,82,50,32,61.0,48.1,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,14.1,7.4,4.3,6.0,21.0,22.7,107.5,4.8
Detroit Pistons,82,30,52,36.6,48.5,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,13.0,7.3,4.0,4.6,19.9,18.8,97.0,-3.6
Golden State Warriors,82,36,46,43.9,48.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,14.6,9.0,5.0,4.3,22.0,18.4,103.4,-2.3
Houston Rockets,82,43,39,52.4,48.5,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20.0,21.4,105.9,2.2
Indiana Pacers,82,37,45,45.1,48.2,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,99.8,-1.1
Los Angeles Clippers,82,32,50,39.0,48.4,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,98.6,-3.1
Los Angeles Lakers,82,57,25,69.5,48.4,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,13.1,7.3,5.1,4.5,19.0,20.7,101.5,6.1
Memphis Grizzlies,82,46,36,56.1,48.5,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,20.8,21.4,99.9,2.3
Miami Heat,82,58,24,70.7,48.2,37.0,76.8,48.1,6.7,18.0,37.0,21.5,27.9,76.9,9.6,32.5,42.1,20.0,13.9,6.6,5.2,3.0,20.4,21.8,102.1,7.5
Milwaukee Bucks,82,35,47,42.7,48.4,34.3,79.8,43.0,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,91.9,-0.8
Minnesota Timberwolves,82,17,65,20.7,48.2,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17.0,7.2,5.1,5.5,22.3,20.9,101.1,-6.6
New Jersey Nets,82,24,58,29.3,48.8,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,14.0,5.6,4.7,4.6,22.0,20.0,94.2,-6.2
New Orleans Hornets,82,46,36,56.1,48.4,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,13.0,7.6,4.4,4.8,21.0,20.4,94.9,0.9
New York Knicks,82,42,40,51.2,48.2,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,21.3,20.8,106.5,0.8
Oklahoma City Thunder,82,55,27,67.1,48.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,14.1,8.0,5.9,4.3,22.4,21.5,104.8,3.8
Orlando Magic,82,52,30,63.4,48.4,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,14.9,6.7,4.7,3.8,20.0,21.8,99.2,5.5
Philadelphia 76ers,82,41,41,50.0,48.6,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77.0,10.4,31.4,41.8,22.7,13.0,7.6,4.3,4.6,19.4,18.8,99.0,1.5
Phoenix Suns,82,40,42,48.8,48.8,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,10.0,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2,105.0,-0.9
Portland Trail Blazers,82,48,34,58.5,48.3,36.0,80.5,44.7,6.3,18.3,34.5,18.0,22.4,80.4,12.1,27.2,39.3,21.2,13.0,8.0,4.4,4.1,19.3,21.3,96.3,1.5
Sacramento Kings,82,24,58,29.3,48.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22.0,21.0,99.4,-5.3
San Antonio Spurs,82,61,21,74.4,48.2,38.4,80.8,47.5,8.4,21.1,39.7,18.5,24.2,76.7,10.1,31.7,41.9,22.4,13.4,7.3,4.5,4.6,19.0,20.7,103.7,5.7
