Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
New York Knicks,NYK vs. IND,2013-05-07,W,240,105,44,89,49.4,10,30,33.3,7,10,70.0,13,24,37,20,11,4,7,20,26
New York Knicks,NYK @ IND,2013-05-11,L,240,71,25,71,35.2,3,11,27.3,18,25,72.0,11,30,41,11,7,3,15,23,-11
New York Knicks,NYK @ BOS,2013-04-28,L,265,90,31,90,34.4,7,30,23.3,21,28,75.0,16,38,54,10,10,3,16,27,-7
New York Knicks,NYK @ IND,2013-05-14,L,240,82,31,87,35.6,8,28,28.6,12,14,85.7,11,25,36,14,7,9,10,29,-11
New York Knicks,NYK @ BOS,2013-04-26,W,240,90,38,76,50.0,11,27,40.7,3,8,37.5,6,31,37,22,14,4,11,19,14
New York Knicks,NYK vs. BOS,2013-04-20,W,240,85,32,79,40.5,9,25,36.0,12,15,80.0,10,30,40,13,15,4,13,23,7
New York Knicks,NYK @ IND,2013-05-18,L,240,99,34,85,40.0,13,30,43.3,18,18,100,14,22,36,19,3,0,9,34,-7
New York Knicks,NYK vs. BOS,2013-04-23,W,240,87,32,76,42.1,7,19,36.8,16,22,72.7,7,35,42,14,5,6,11,17,16
New York Knicks,NYK vs. BOS,2013-05-01,L,240,86,32,81,39.5,5,22,22.7,17,20,85.0,9,30,39,13,8,1,9,19,-6
New York Knicks,NYK vs. IND,2013-05-05,L,240,95,35,81,43.2,7,19,36.8,18,23,78.3,6,24,30,15,4,4,10,21,-7
Milwaukee Bucks,MIL @ MIA,2013-04-21,L,240,87,34,82,41.5,7,26,26.9,12,20,60.0,10,21,31,14,10,0,12,23,-23
Milwaukee Bucks,MIL @ MIA,2013-04-23,L,240,86,36,72,50.0,4,18,22.2,10,17,58.8,4,29,33,23,9,2,17,21,-12
Milwaukee Bucks,MIL vs. MIA,2013-04-25,L,240,91,33,72,45.8,7,26,26.9,18,29,62.1,9,29,38,23,14,2,20,21,-13
Milwaukee Bucks,MIL vs. MIA,2013-04-28,L,240,77,30,81,37.0,6,22,27.3,11,15,73.3,12,25,37,19,7,6,16,14,-11
Miami Heat,MIA @ SAS,2013-06-16,L,240,104,37,86,43.0,11,23,47.8,19,23,82.6,12,22,34,25,8,3,15,24,-10
Miami Heat,MIA vs. IND,2013-05-30,W,240,90,38,75,50.7,7,18,38.9,7,12,58.3,6,26,32,19,6,7,10,11,11
Miami Heat,MIA @ MIL,2013-04-25,W,240,104,41,79,51.9,8,19,42.1,14,25,56.0,12,31,43,31,11,3,19,24,13
Miami Heat,MIA vs. CHI,2013-05-06,L,240,86,31,78,39.7,7,24,29.2,17,25,68.0,7,25,32,20,8,8,9,24,-7
Miami Heat,MIA vs. IND,2013-05-24,L,240,93,34,73,46.6,7,22,31.8,18,26,69.2,10,22,32,14,4,4,15,27,-4
Miami Heat,MIA vs. SAS,2013-06-18,W,265,103,38,81,46.9,11,19,57.9,16,21,76.2,12,30,42,23,10,6,15,26,3
Miami Heat,MIA vs. IND,2013-06-03,W,240,99,30,77,39.0,6,16,37.5,33,38,86.8,15,28,43,14,11,5,11,22,23
Miami Heat,MIA vs. SAS,2013-06-09,W,240,103,41,83,49.4,10,19,52.6,11,14,78.6,9,27,36,22,9,6,6,17,19
Miami Heat,MIA vs. IND,2013-05-22,W,265,103,41,86,47.7,5,18,27.8,16,25,64.0,16,22,38,24,9,9,21,28,1
Miami Heat,MIA vs. MIL,2013-04-21,W,240,110,38,68,55.9,7,23,30.4,27,33,81.8,11,35,46,22,8,3,19,19,23
Miami Heat,MIA vs. CHI,2013-05-15,W,240,94,32,70,45.7,6,21,28.6,24,33,72.7,6,26,32,20,10,5,10,24,3
Miami Heat,MIA vs. MIL,2013-04-23,W,240,98,35,78,44.9,6,19,31.6,22,26,84.6,12,31,43,17,10,3,14,17,12
Miami Heat,MIA @ MIL,2013-04-28,W,240,88,34,73,46.6,7,26,26.9,13,19,68.4,8,34,42,24,8,8,16,21,11
Miami Heat,MIA @ CHI,2013-05-10,W,240,104,35,70,50.0,8,20,40.0,26,30,86.7,9,30,39,21,4,4,12,20,10
Miami Heat,MIA @ CHI,2013-05-13,W,240,88,33,68,48.5,6,18,33.3,16,21,76.2,7,29,36,24,9,9,17,23,23
Miami Heat,MIA @ SAS,2013-06-11,L,240,77,31,76,40.8,8,18,44.4,7,10,70.0,9,27,36,21,9,8,16,21,-36
Miami Heat,MIA @ SAS,2013-06-13,W,240,109,45,85,52.9,4,12,33.3,15,17,88.2,7,34,41,23,13,7,9,26,16
Miami Heat,MIA vs. SAS,2013-06-06,L,240,88,34,78,43.6,8,25,32.0,12,17,70.6,9,37,46,20,4,2,9,12,-4
Miami Heat,MIA vs. SAS,2013-06-20,W,240,95,36,82,43.9,12,32,37.5,11,16,68.8,11,32,43,14,8,4,16,19,7
Miami Heat,MIA @ IND,2013-05-28,L,240,92,30,77,39.0,8,23,34.8,24,27,88.9,12,18,30,15,7,5,6,30,-7
Miami Heat,MIA @ IND,2013-06-01,L,240,77,26,72,36.1,10,18,55.6,15,19,78.9,9,24,33,10,10,6,14,21,-14
Miami Heat,MIA vs. CHI,2013-05-08,W,240,115,42,70,60.0,9,18,50.0,22,29,75.9,8,33,41,29,9,5,17,24,37
Miami Heat,MIA @ IND,2013-05-26,W,240,114,42,77,54.5,6,14,42.9,24,28,85.7,6,30,36,21,6,5,5,30,18
Memphis Grizzlies,MEM @ OKC,2013-05-15,W,240,88,30,81,37.0,3,14,21.4,25,29,86.2,8,38,46,18,8,4,10,17,4
Memphis Grizzlies,MEM @ OKC,2013-05-05,L,240,91,35,82,42.7,7,19,36.8,14,24,58.3,8,33,41,13,5,2,12,22,-2
Memphis Grizzlies,MEM vs. LAC,2013-04-25,W,240,94,31,80,38.8,4,16,25.0,28,38,73.7,17,28,45,18,11,3,10,22,12
Memphis Grizzlies,MEM @ OKC,2013-05-07,W,240,99,36,86,41.9,4,15,26.7,23,32,71.9,16,27,43,22,13,2,11,23,6
Memphis Grizzlies,MEM @ SAS,2013-05-21,L,265,89,33,97,34.0,5,17,29.4,18,26,69.2,19,41,60,19,9,6,12,22,-4
Memphis Grizzlies,MEM vs. SAS,2013-05-25,L,265,93,38,97,39.2,7,20,35.0,10,18,55.6,19,29,48,18,10,6,10,24,-11
Memphis Grizzlies,MEM vs. SAS,2013-05-27,L,240,86,32,86,37.2,5,14,35.7,17,24,70.8,16,25,41,19,7,5,13,22,-7
Memphis Grizzlies,MEM vs. LAC,2013-05-03,W,240,118,36,71,50.7,8,19,42.1,38,47,80.9,6,28,34,27,7,3,12,26,13
Memphis Grizzlies,MEM @ SAS,2013-05-19,L,240,83,32,74,43.2,5,12,41.7,14,20,70.0,10,25,35,20,5,6,12,17,-22
Memphis Grizzlies,MEM vs. OKC,2013-05-11,W,240,87,30,74,40.5,4,14,28.6,23,28,82.1,5,39,44,16,5,6,12,19,6
Memphis Grizzlies,MEM @ LAC,2013-04-30,W,240,103,37,85,43.5,3,10,30.0,26,33,78.8,14,28,42,19,7,7,7,25,10
Memphis Grizzlies,MEM @ LAC,2013-04-20,L,240,91,33,71,46.5,5,12,41.7,20,25,80.0,4,19,23,22,3,1,7,29,-21
Memphis Grizzlies,MEM vs. OKC,2013-05-13,W,265,103,36,89,40.4,6,17,35.3,25,29,86.2,13,28,41,18,8,7,7,23,6
Memphis Grizzlies,MEM @ LAC,2013-04-22,L,240,91,33,73,45.2,2,11,18.2,23,34,67.6,8,30,38,16,8,5,13,21,-2
Memphis Grizzlies,MEM vs. LAC,2013-04-27,W,240,104,39,77,50.6,4,12,33.3,22,29,75.9,13,32,45,25,3,6,13,20,21
Los Angeles Lakers,LAL @ SAS,2013-04-21,L,240,79,30,73,41.1,3,15,20.0,16,24,66.7,6,38,44,15,8,4,18,20,-12
Los Angeles Lakers,LAL @ SAS,2013-04-24,L,240,91,37,82,45.1,8,22,36.4,9,13,69.2,12,28,40,18,5,9,13,20,-11
Los Angeles Lakers,LAL vs. SAS,2013-04-26,L,240,89,35,81,43.2,4,20,20.0,15,25,60.0,9,26,35,19,8,3,13,15,-31
Los Angeles Lakers,LAL vs. SAS,2013-04-28,L,240,82,36,76,47.4,5,17,29.4,5,12,41.7,7,34,41,22,2,5,22,15,-21
Los Angeles Clippers,LAC @ MEM,2013-04-27,L,240,83,32,78,41.0,4,21,19.0,15,17,88.2,5,23,28,17,8,5,10,27,-21
Los Angeles Clippers,LAC @ MEM,2013-04-25,L,240,82,26,67,38.8,9,23,39.1,21,23,91.3,5,28,33,14,5,10,18,29,-12
Los Angeles Clippers,LAC vs. MEM,2013-04-30,L,240,93,34,77,44.2,6,17,35.3,19,25,76.0,12,28,40,19,6,5,13,23,-10
Los Angeles Clippers,LAC vs. MEM,2013-04-22,W,240,93,37,78,47.4,2,15,13.3,17,22,77.3,9,31,40,19,5,10,13,27,2
Los Angeles Clippers,LAC @ MEM,2013-05-03,L,240,105,41,78,52.6,7,20,35.0,16,24,66.7,8,27,35,19,3,0,13,33,-13
Los Angeles Clippers,LAC vs. MEM,2013-04-20,W,240,112,41,74,55.4,7,19,36.8,23,31,74.2,14,33,47,20,4,4,13,28,21
Indiana Pacers,IND @ MIA,2013-05-24,W,240,97,33,66,50.0,5,12,41.7,26,32,81.3,11,28,39,18,6,3,17,23,4
Indiana Pacers,IND vs. MIA,2013-05-26,L,240,96,29,73,39.7,8,14,57.1,30,44,68.2,18,27,45,16,1,3,11,25,-18
Indiana Pacers,IND @ MIA,2013-05-30,L,240,79,31,69,44.9,5,13,38.5,12,15,80.0,6,27,33,11,6,5,18,19,-11
Indiana Pacers,IND vs. ATL,2013-04-24,W,240,113,41,87,47.1,10,25,40.0,21,29,72.4,15,32,47,22,10,5,10,19,15
Indiana Pacers,IND @ NYK,2013-05-16,L,240,75,25,69,36.2,6,19,31.6,19,33,57.6,12,31,43,12,6,3,19,18,-10
Indiana Pacers,IND @ ATL,2013-04-27,L,240,69,22,81,27.2,4,25,16.0,21,28,75.0,17,35,52,10,6,5,22,27,-21
Indiana Pacers,IND vs. NYK,2013-05-14,W,240,93,31,76,40.8,8,25,32.0,23,30,76.7,16,38,54,17,4,8,16,18,11
Indiana Pacers,IND @ NYK,2013-05-07,L,240,79,30,66,45.5,8,25,32.0,11,18,61.1,7,28,35,19,4,5,21,18,-26
Indiana Pacers,IND vs. ATL,2013-04-21,W,240,107,35,78,44.9,7,19,36.8,30,34,88.2,15,33,48,23,8,4,14,19,17
Indiana Pacers,IND @ ATL,2013-05-03,W,240,81,32,76,42.1,3,15,20.0,14,21,66.7,7,46,53,17,7,9,16,20,8
Indiana Pacers,IND vs. ATL,2013-05-01,W,240,106,35,69,50.7,7,19,36.8,29,35,82.9,8,43,51,24,2,2,17,30,23
Indiana Pacers,IND @ MIA,2013-05-22,L,265,102,37,83,44.6,4,14,28.6,24,32,75.0,17,26,43,18,10,2,20,30,-1
Indiana Pacers,IND vs. MIA,2013-06-01,W,240,91,37,74,50.0,6,11,54.5,11,18,61.1,15,38,53,19,5,3,21,19,14
Indiana Pacers,IND @ ATL,2013-04-29,L,240,91,32,84,38.1,7,23,30.4,20,25,80.0,15,30,45,22,8,4,14,28,-11
Indiana Pacers,IND @ MIA,2013-06-03,L,240,76,28,69,40.6,6,20,30.0,14,20,70.0,8,29,37,14,3,3,21,28,-23
Indiana Pacers,IND vs. MIA,2013-05-28,W,240,99,35,70,50.0,3,14,21.4,26,33,78.8,15,34,49,18,3,5,13,25,7
Indiana Pacers,IND vs. NYK,2013-05-18,W,240,106,34,67,50.7,4,15,26.7,34,46,73.9,11,32,43,17,4,7,9,16,7
Indiana Pacers,IND vs. NYK,2013-05-11,W,240,82,28,80,35.0,10,33,30.3,16,23,69.6,18,35,53,14,7,1,17,23,11
Indiana Pacers,IND @ NYK,2013-05-05,W,240,102,37,76,48.7,8,23,34.8,20,26,76.9,11,33,44,21,3,8,16,21,7
Houston Rockets,HOU vs. OKC,2013-04-27,L,240,101,36,83,43.4,12,37,32.4,17,25,68.0,5,36,41,23,6,12,11,25,-3
Houston Rockets,HOU @ OKC,2013-05-01,W,240,107,34,72,47.2,14,35,40.0,25,37,67.6,6,36,42,15,4,5,15,22,7
Houston Rockets,HOU vs. OKC,2013-05-03,L,240,94,30,73,41.1,14,32,43.8,20,31,64.5,11,32,43,16,5,5,16,17,-9
Houston Rockets,HOU @ OKC,2013-04-24,L,240,102,36,91,39.6,10,35,28.6,20,25,80.0,18,39,57,16,4,3,16,23,-3
Houston Rockets,HOU vs. OKC,2013-04-29,W,240,105,37,76,48.7,12,27,44.4,19,24,79.2,14,25,39,21,10,7,22,26,2
Houston Rockets,HOU @ OKC,2013-04-21,L,240,91,33,91,36.3,8,36,22.2,17,24,70.8,11,28,39,17,6,1,15,26,-29
Golden State Warriors,GSW vs. DEN,2013-04-28,W,240,115,44,79,55.7,11,26,42.3,16,23,69.6,7,22,29,27,13,5,16,26,14
Golden State Warriors,GSW @ SAS,2013-05-08,W,240,100,38,84,45.2,11,23,47.8,13,20,65.0,13,37,50,19,6,4,10,20,9
Golden State Warriors,GSW vs. SAS,2013-05-12,W,265,97,35,92,38.0,7,18,38.9,20,25,80.0,19,46,65,19,6,1,18,26,10
Golden State Warriors,GSW @ SAS,2013-05-14,L,240,91,35,75,46.7,6,16,37.5,15,23,65.2,7,29,36,18,8,5,14,20,-18
Golden State Warriors,GSW vs. DEN,2013-05-02,W,240,92,31,77,40.3,7,25,28.0,23,24,95.8,13,42,55,17,3,5,21,19,4
Golden State Warriors,GSW vs. DEN,2013-04-26,W,240,110,42,80,52.5,8,20,40.0,18,23,78.3,12,30,42,26,7,7,23,20,2
Golden State Warriors,GSW vs. SAS,2013-05-10,L,240,92,35,89,39.3,6,19,31.6,16,20,80.0,16,32,48,20,3,1,11,24,-10
Golden State Warriors,GSW @ SAS,2013-05-06,L,290,127,51,100,51.0,11,30,36.7,14,24,58.3,12,43,55,23,8,5,21,29,-2
Golden State Warriors,GSW @ DEN,2013-04-20,L,240,95,38,92,41.3,8,22,36.4,11,15,73.3,13,42,55,27,4,10,18,21,-2
Golden State Warriors,GSW @ DEN,2013-04-23,W,240,131,51,79,64.6,14,25,56.0,15,20,75.0,6,30,36,26,7,4,17,32,14
Golden State Warriors,GSW @ DEN,2013-04-30,L,240,100,35,81,43.2,11,28,39.3,19,25,76.0,9,33,42,20,5,9,17,23,-7
Golden State Warriors,GSW vs. SAS,2013-05-16,L,240,82,33,85,38.8,4,16,25.0,12,19,63.2,11,29,40,18,7,3,12,25,-12
Denver Nuggets,DEN @ GSW,2013-04-28,L,240,101,33,71,46.5,6,20,30.0,29,38,76.3,12,25,37,14,6,2,23,27,-14
Denver Nuggets,DEN vs. GSW,2013-04-30,W,240,107,38,89,42.7,10,27,37.0,21,27,77.8,15,31,46,26,12,6,13,25,7
Denver Nuggets,DEN @ GSW,2013-05-02,L,240,88,34,98,34.7,7,28,25.0,13,21,61.9,20,24,44,18,10,3,7,22,-4
Denver Nuggets,DEN @ GSW,2013-04-26,L,240,108,40,86,46.5,7,18,38.9,21,27,77.8,11,23,34,26,11,1,18,25,-2
Denver Nuggets,DEN vs. GSW,2013-04-20,W,240,97,38,85,44.7,3,16,18.8,18,28,64.3,7,38,45,16,9,4,11,18,2
Denver Nuggets,DEN vs. GSW,2013-04-23,L,240,117,40,80,50.0,9,26,34.6,28,37,75.7,6,20,26,27,6,1,15,22,-14
Chicago Bulls,CHI @ MIA,2013-05-06,W,240,93,31,71,43.7,7,18,38.9,24,29,82.8,9,37,46,20,5,3,16,20,7
Chicago Bulls,CHI @ MIA,2013-05-15,L,240,91,33,75,44.0,8,19,42.1,17,24,70.8,15,25,40,14,5,5,16,21,-3
Chicago Bulls,CHI vs. BKN,2013-04-27,W,315,142,58,109,53.2,6,19,31.6,20,29,69.0,9,37,46,34,8,7,15,35,8
Chicago Bulls,CHI @ BKN,2013-04-20,L,240,89,36,76,47.4,2,8,25.0,15,22,68.2,9,26,35,15,4,5,10,17,-17
Chicago Bulls,CHI @ MIA,2013-05-08,L,240,78,27,76,35.5,9,23,39.1,15,21,71.4,12,16,28,17,8,0,19,27,-37
Chicago Bulls,CHI @ BKN,2013-05-04,W,240,99,40,82,48.8,7,21,33.3,12,13,92.3,13,27,40,20,6,7,9,14,6
Chicago Bulls,CHI vs. BKN,2013-05-02,L,240,92,36,89,40.4,7,18,38.9,13,18,72.2,15,31,46,23,4,7,16,26,-3
Chicago Bulls,CHI @ BKN,2013-04-29,L,240,91,37,75,49.3,4,12,33.3,13,18,72.2,11,22,33,20,8,4,13,20,-19
Chicago Bulls,CHI vs. BKN,2013-04-25,W,240,79,31,78,39.7,3,15,20.0,14,21,66.7,9,39,48,17,6,3,15,15,3
Chicago Bulls,CHI vs. MIA,2013-05-10,L,240,94,35,77,45.5,7,22,31.8,17,25,68.0,11,26,37,21,7,4,11,30,-10
Chicago Bulls,CHI @ BKN,2013-04-22,W,240,90,37,77,48.1,3,12,25.0,13,23,56.5,9,35,44,21,6,7,14,25,8
Chicago Bulls,CHI vs. MIA,2013-05-13,L,240,65,19,74,25.7,2,17,11.8,25,32,78.1,19,27,46,12,10,3,17,19,-23
Brooklyn Nets,BKN vs. CHI,2013-04-22,L,240,82,29,82,35.4,4,21,19.0,20,23,87.0,11,28,39,22,8,5,12,19,-8
Brooklyn Nets,BKN vs. CHI,2013-04-29,W,240,110,42,84,50.0,6,17,35.3,20,23,87.0,17,27,44,19,7,2,11,19,19
Brooklyn Nets,BKN vs. CHI,2013-04-20,W,240,106,43,77,55.8,6,14,42.9,14,17,82.4,6,33,39,18,6,5,8,21,17
Brooklyn Nets,BKN @ CHI,2013-04-25,L,240,76,28,81,34.6,5,21,23.8,15,17,88.2,7,35,42,15,5,11,11,19,-3
Brooklyn Nets,BKN @ CHI,2013-05-02,W,240,95,34,79,43.0,5,14,35.7,22,33,66.7,10,31,41,21,5,2,10,18,3
Brooklyn Nets,BKN vs. CHI,2013-05-04,L,240,93,35,86,40.7,8,25,32.0,15,20,75.0,19,24,43,21,6,4,9,16,-6
Brooklyn Nets,BKN @ CHI,2013-04-27,L,315,134,48,97,49.5,9,24,37.5,29,45,64.4,12,35,47,23,7,10,20,27,-8
Boston Celtics,BOS @ NYK,2013-04-20,L,240,78,27,65,41.5,5,20,25.0,19,19,100,4,36,40,18,5,5,21,17,-7
Boston Celtics,BOS vs. NYK,2013-04-28,W,265,97,34,76,44.7,8,22,36.4,21,24,87.5,3,37,40,22,7,4,16,26,7
Boston Celtics,BOS vs. NYK,2013-05-03,L,240,80,24,63,38.1,6,22,27.3,26,33,78.8,5,30,35,13,9,1,20,20,-8
Boston Celtics,BOS @ NYK,2013-04-23,L,240,71,26,70,37.1,5,19,26.3,14,18,77.8,3,34,37,14,3,4,12,20,-16
Boston Celtics,BOS vs. NYK,2013-04-26,L,240,76,28,70,40.0,6,19,31.6,14,18,77.8,11,30,41,14,6,1,18,14,-14
Boston Celtics,BOS @ NYK,2013-05-01,W,240,92,32,70,45.7,11,22,50.0,17,17,100,5,36,41,20,3,3,17,16,6
Atlanta Hawks,ATL vs. IND,2013-04-27,W,240,90,35,82,42.7,4,15,26.7,16,28,57.1,13,35,48,17,11,6,14,27,21
Atlanta Hawks,ATL vs. IND,2013-05-03,L,240,73,26,78,33.3,3,19,15.8,18,20,90.0,3,32,35,12,5,4,10,19,-8
Atlanta Hawks,ATL @ IND,2013-04-21,L,240,90,38,76,50.0,7,17,41.2,7,14,50.0,6,26,32,23,5,3,16,26,-17
Atlanta Hawks,ATL @ IND,2013-04-24,L,240,98,39,79,49.4,9,23,39.1,11,20,55.0,11,30,41,25,7,4,14,24,-15
Atlanta Hawks,ATL @ IND,2013-05-01,L,240,83,25,75,33.3,3,14,21.4,30,37,81.1,6,22,28,14,6,2,6,24,-23
Atlanta Hawks,ATL vs. IND,2013-04-29,W,240,102,33,74,44.6,11,24,45.8,25,38,65.8,11,35,46,24,10,4,13,25,11
