Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
San Antonio Spurs,SAS @ MIA,2013-06-06,W,240,92,35,84,41.7,7,23,30.4,15,18,83.3,6,31,37,16,6,5,4,12,4
San Antonio Spurs,SAS vs. MEM,2013-05-21,W,265,93,36,83,43.4,9,25,36.0,12,17,70.6,4,42,46,29,5,12,13,23,4
San Antonio Spurs,SAS @ LAL,2013-04-26,W,240,120,52,85,61.2,5,16,31.3,11,15,73.3,8,41,49,30,9,7,14,20,31
San Antonio Spurs,SAS @ MIA,2013-06-09,L,240,84,32,78,41.0,10,20,50.0,10,14,71.4,15,29,44,16,3,4,17,14,-19
San Antonio Spurs,SAS @ GSW,2013-05-12,L,265,87,33,93,35.5,7,27,25.9,14,25,56.0,15,36,51,17,11,7,12,25,-10
San Antonio Spurs,SAS @ MIA,2013-06-20,L,240,88,31,82,37.8,6,19,31.6,20,22,90.9,12,31,43,13,12,3,15,19,-7
San Antonio Spurs,SAS vs. LAL,2013-04-21,W,240,91,32,85,37.6,7,22,31.8,20,25,80.0,8,35,43,20,12,3,9,21,12
San Antonio Spurs,SAS vs. MIA,2013-06-16,W,240,114,42,70,60.0,9,22,40.9,21,26,80.8,5,31,36,21,5,8,19,21,10
San Antonio Spurs,SAS vs. GSW,2013-05-08,L,240,91,35,89,39.3,5,21,23.8,16,24,66.7,17,31,48,14,7,5,10,19,-9
San Antonio Spurs,SAS vs. MIA,2013-06-11,W,240,113,43,88,48.9,16,32,50.0,11,19,57.9,19,33,52,29,10,4,13,13,36
San Antonio Spurs,SAS vs. GSW,2013-05-06,W,290,129,46,105,43.8,13,26,50.0,24,28,85.7,13,32,45,26,9,3,14,21,2
San Antonio Spurs,SAS @ MEM,2013-05-27,W,240,93,39,76,51.3,3,13,23.1,12,13,92.3,4,30,34,23,10,8,16,25,7
San Antonio Spurs,SAS vs. MIA,2013-06-13,L,240,93,31,70,44.3,8,16,50.0,23,31,74.2,5,31,36,21,5,4,19,18,-16
San Antonio Spurs,SAS @ GSW,2013-05-16,W,240,94,33,73,45.2,7,19,36.8,21,25,84.0,6,40,46,27,6,4,14,20,12
San Antonio Spurs,SAS vs. GSW,2013-05-14,W,240,109,40,77,51.9,10,21,47.6,19,25,76.0,8,30,38,30,12,3,10,20,18
San Antonio Spurs,SAS @ MIA,2013-06-18,L,265,100,37,85,43.5,5,18,27.8,21,28,75.0,12,33,45,13,8,2,15,21,-3
San Antonio Spurs,SAS vs. LAL,2013-04-24,W,240,102,42,82,51.2,7,14,50.0,11,14,78.6,9,28,37,21,7,7,9,17,11
San Antonio Spurs,SAS @ GSW,2013-05-10,W,240,102,40,79,50.6,6,20,30.0,16,23,69.6,8,33,41,21,4,3,11,19,10
San Antonio Spurs,SAS @ LAL,2013-04-28,W,240,103,39,84,46.4,5,16,31.3,20,23,87.0,10,30,40,24,13,3,8,14,21
San Antonio Spurs,SAS vs. MEM,2013-05-19,W,240,105,40,76,52.6,14,29,48.3,11,14,78.6,7,26,33,28,5,4,11,18,22
San Antonio Spurs,SAS @ MEM,2013-05-25,W,265,104,41,82,50.0,6,18,33.3,16,22,72.7,13,37,50,20,6,7,17,21,11
Oklahoma City Thunder,OKC vs. HOU,2013-05-01,L,240,100,36,86,41.9,8,33,24.2,20,28,71.4,12,31,43,20,5,10,9,28,-7
Oklahoma City Thunder,OKC vs. MEM,2013-05-07,L,240,93,30,70,42.9,9,24,37.5,24,27,88.9,8,27,35,17,3,7,21,26,-6
Oklahoma City Thunder,OKC vs. HOU,2013-04-21,W,240,120,44,83,53.0,10,24,41.7,22,28,78.6,5,41,46,28,9,9,13,24,29
Oklahoma City Thunder,OKC vs. MEM,2013-05-15,L,240,84,31,85,36.5,6,25,24.0,16,21,76.2,13,31,44,19,3,6,13,25,-4
Oklahoma City Thunder,OKC @ MEM,2013-05-11,L,240,81,32,88,36.4,5,18,27.8,12,19,63.2,14,37,51,10,7,4,14,23,-6
Oklahoma City Thunder,OKC @ HOU,2013-04-29,L,240,103,35,72,48.6,11,25,44.0,22,25,88.0,9,27,36,18,9,5,22,26,-2
Oklahoma City Thunder,OKC vs. MEM,2013-05-05,W,240,93,33,80,41.3,5,15,33.3,22,25,88.0,7,36,43,13,2,6,10,22,2
Oklahoma City Thunder,OKC @ HOU,2013-05-03,W,240,103,38,83,45.8,11,27,40.7,16,16,100,9,32,41,21,9,5,10,24,9
Oklahoma City Thunder,OKC @ HOU,2013-04-27,W,240,104,33,87,37.9,10,26,38.5,28,30,93.3,13,36,49,14,7,6,11,24,3
Oklahoma City Thunder,OKC @ MEM,2013-05-13,L,265,97,34,79,43.0,9,20,45.0,20,22,90.9,8,36,44,19,4,10,15,30,-6
Oklahoma City Thunder,OKC vs. HOU,2013-04-24,W,240,105,37,85,43.5,11,35,31.4,20,24,83.3,10,30,40,20,8,9,12,22,3
New York Knicks,NYK vs. IND,2013-05-16,W,240,85,32,78,41.0,7,18,38.9,14,17,82.4,10,30,40,12,12,5,11,30,10
New York Knicks,NYK @ BOS,2013-05-03,W,240,88,33,79,41.8,9,21,42.9,13,16,81.3,15,27,42,18,10,8,17,23,8
