Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Los Angeles Clippers,LAC @ OKC,2014-05-07,L,240,101,37,83,44.6,9,27,33.3,18,23,78.3,9,27,36,23,11,2,14,26,-11
Miami Heat,MIA vs. CHA,2014-04-23,W,240,101,35,67,52.2,9,23,39.1,22,29,75.9,4,33,37,19,9,6,17,21,4
Washington Wizards,WAS @ CHI,2014-04-22,W,265,101,38,80,47.5,9,23,39.1,16,28,57.1,8,34,42,23,10,6,12,26,2
Indiana Pacers,IND vs. ATL,2014-04-22,W,240,101,36,68,52.9,8,17,47.1,21,27,77.8,8,30,38,25,8,4,17,18,16
Atlanta Hawks,ATL @ IND,2014-04-19,W,240,101,33,76,43.4,11,30,36.7,24,29,82.8,9,33,42,13,6,7,12,20,8
Golden State Warriors,GSW vs. LAC,2014-05-01,W,240,100,35,89,39.3,7,24,29.2,23,37,62.2,18,32,50,20,7,4,8,24,1
Memphis Grizzlies,MEM @ OKC,2014-04-29,W,265,100,37,87,42.5,7,19,36.8,19,26,73.1,13,37,50,21,11,3,10,21,1
Chicago Bulls,CHI @ WAS,2014-04-25,W,240,100,34,71,47.9,12,24,50.0,20,30,66.7,7,29,36,24,8,2,17,23,3
Toronto Raptors,TOR vs. BKN,2014-04-22,W,240,100,37,78,47.4,2,16,12.5,24,29,82.8,19,33,52,19,3,3,21,21,5
Oklahoma City Thunder,OKC vs. MEM,2014-04-19,W,240,100,34,76,44.7,4,16,25.0,28,32,87.5,7,44,51,22,3,10,13,25,14
Miami Heat,MIA vs. IND,2014-05-24,W,240,99,37,68,54.4,10,18,55.6,15,20,75.0,6,23,29,17,9,2,15,24,12
Oklahoma City Thunder,OKC @ LAC,2014-05-11,L,240,99,33,75,44.0,7,24,29.2,26,34,76.5,9,34,43,17,6,8,16,27,-2
Portland Trail Blazers,POR vs. HOU,2014-05-02,W,240,99,35,82,42.7,9,24,37.5,20,22,90.9,12,22,34,14,9,6,12,20,1
Los Angeles Clippers,LAC @ GSW,2014-05-01,L,240,99,32,86,37.2,11,34,32.4,24,33,72.7,15,38,53,22,3,5,12,28,-1
Oklahoma City Thunder,OKC vs. MEM,2014-04-29,L,265,99,36,92,39.1,12,31,38.7,15,19,78.9,19,32,51,24,2,3,17,22,-1
Chicago Bulls,CHI vs. WAS,2014-04-22,L,265,99,38,88,43.2,5,17,29.4,18,24,75.0,17,32,49,23,6,5,14,23,-2
Miami Heat,MIA vs. CHA,2014-04-20,W,240,99,35,76,46.1,11,23,47.8,18,26,69.2,6,32,38,14,5,3,9,12,11
Miami Heat,MIA @ SAS,2014-06-08,W,240,98,37,70,52.9,8,19,42.1,16,21,76.2,5,33,38,16,6,3,16,20,2
Los Angeles Clippers,LAC vs. OKC,2014-05-15,L,240,98,40,95,42.1,6,21,28.6,12,20,60.0,12,29,41,26,9,3,9,27,-6
Houston Rockets,HOU @ POR,2014-05-02,L,240,98,34,75,45.3,7,19,36.8,23,31,74.2,14,30,44,19,8,3,17,20,-1
Portland Trail Blazers,POR @ HOU,2014-04-30,L,240,98,36,83,43.4,9,25,36.0,17,23,73.9,9,25,34,14,8,14,11,21,-10
Charlotte Bobcats,CHA vs. MIA,2014-04-28,L,240,98,35,69,50.7,7,25,28.0,21,30,70.0,6,30,36,22,4,6,16,24,-11
Washington Wizards,WAS vs. CHI,2014-04-27,W,240,98,35,86,40.7,8,19,42.1,20,25,80.0,14,24,38,22,8,5,6,18,9
Miami Heat,MIA @ CHA,2014-04-26,W,240,98,36,83,43.4,9,18,50.0,17,20,85.0,6,33,39,26,8,7,7,25,13
Toronto Raptors,TOR @ BKN,2014-04-25,L,240,98,31,67,46.3,7,22,31.8,29,37,78.4,8,27,35,18,5,3,19,31,-4
Los Angeles Clippers,LAC @ GSW,2014-04-24,W,240,98,40,86,46.5,8,28,28.6,10,23,43.5,14,33,47,25,11,6,13,20,2
Memphis Grizzlies,MEM vs. OKC,2014-04-24,W,265,98,41,92,44.6,4,16,25.0,12,15,80.0,13,34,47,21,9,1,15,21,3
Atlanta Hawks,ATL vs. IND,2014-04-24,W,240,98,28,73,38.4,12,34,35.3,30,37,81.1,4,37,41,21,4,4,14,19,13
Golden State Warriors,GSW @ LAC,2014-04-21,L,240,98,36,76,47.4,4,19,21.1,22,27,81.5,13,23,36,18,8,4,26,33,-40
San Antonio Spurs,SAS @ OKC,2014-05-25,L,240,97,36,91,39.6,10,26,38.5,15,16,93.8,11,25,36,22,6,2,16,20,-9
Portland Trail Blazers,POR @ SAS,2014-05-08,L,240,97,40,93,43.0,7,18,38.9,10,10,100,14,30,44,15,3,3,15,18,-17
Brooklyn Nets,BKN vs. TOR,2014-05-02,W,240,97,36,77,46.8,6,21,28.6,19,25,76.0,9,36,45,17,10,5,12,14,14
Indiana Pacers,IND vs. ATL,2014-04-28,L,240,97,36,78,46.2,14,30,46.7,11,18,61.1,7,28,35,24,11,7,13,24,-10
Los Angeles Clippers,LAC @ GSW,2014-04-27,L,240,97,33,77,42.9,10,31,32.3,21,24,87.5,7,25,32,20,5,2,19,25,-21
Washington Wizards,WAS vs. CHI,2014-04-25,L,240,97,37,86,43.0,8,19,42.1,15,21,71.4,13,28,41,20,9,6,11,22,-3
Charlotte Bobcats,CHA @ MIA,2014-04-23,L,240,97,37,88,42.0,9,21,42.9,14,19,73.7,15,26,41,18,5,2,15,22,-4
San Antonio Spurs,SAS vs. MIA,2014-06-08,L,240,96,36,82,43.9,12,26,46.2,12,20,60.0,11,26,37,26,7,1,11,20,-2
Miami Heat,MIA @ IND,2014-05-18,L,240,96,40,78,51.3,6,23,26.1,10,15,66.7,4,25,29,23,7,4,11,26,-11
Miami Heat,MIA vs. BKN,2014-05-14,W,240,96,29,67,43.3,9,29,31.0,29,31,93.5,7,26,33,18,5,4,10,16,2
Brooklyn Nets,BKN vs. MIA,2014-05-12,L,240,96,34,78,43.6,5,22,22.7,23,28,82.1,14,26,40,22,4,1,11,22,-6
Indiana Pacers,IND vs. WAS,2014-05-05,L,240,96,33,81,40.7,8,17,47.1,22,27,81.5,6,30,36,16,6,5,13,26,-6
Dallas Mavericks,DAL @ SAS,2014-05-04,L,240,96,36,88,40.9,9,25,36.0,15,17,88.2,11,28,39,21,6,2,14,21,-23
Golden State Warriors,GSW vs. LAC,2014-04-24,L,240,96,37,89,41.6,6,31,19.4,16,24,66.7,18,34,52,26,6,6,17,18,-2
Miami Heat,MIA @ SAS,2014-06-05,L,240,95,37,78,47.4,12,29,41.4,9,11,81.8,7,22,29,16,14,2,18,21,-15
Indiana Pacers,IND @ WAS,2014-05-11,W,240,95,33,73,45.2,10,22,45.5,19,29,65.5,9,31,40,20,6,2,20,19,3
Indiana Pacers,IND @ ATL,2014-05-01,W,240,95,33,77,42.9,6,20,30.0,23,27,85.2,9,38,47,15,7,3,13,27,7
Oklahoma City Thunder,OKC @ MEM,2014-04-24,L,265,95,34,87,39.1,5,28,17.9,22,30,73.3,15,33,48,13,9,6,16,23,-3
Brooklyn Nets,BKN @ TOR,2014-04-22,L,240,95,34,77,44.2,7,24,29.2,20,28,71.4,11,19,30,19,14,6,10,26,-5
Brooklyn Nets,BKN @ MIA,2014-05-14,L,240,94,37,78,47.4,8,22,36.4,12,15,80.0,12,24,36,14,4,3,12,21,-2
Miami Heat,MIA vs. BKN,2014-05-08,W,240,94,35,71,49.3,10,24,41.7,14,18,77.8,6,30,36,17,10,7,8,14,12
Brooklyn Nets,BKN @ TOR,2014-04-19,W,240,94,34,80,42.5,4,24,16.7,22,27,81.5,7,30,37,16,9,2,9,19,7
Indiana Pacers,IND vs. MIA,2014-05-28,W,240,93,37,78,47.4,6,21,28.6,13,22,59.1,16,29,45,13,12,2,13,16,3
Indiana Pacers,IND @ WAS,2014-05-15,W,240,93,37,72,51.4,2,10,20.0,17,25,68.0,5,33,38,18,6,4,11,23,13
San Antonio Spurs,SAS @ DAL,2014-04-28,W,240,93,36,80,45.0,5,17,29.4,16,22,72.7,11,38,49,16,4,2,15,20,4
Chicago Bulls,CHI vs. WAS,2014-04-20,L,240,93,34,81,42.0,5,20,25.0,20,26,76.9,13,26,39,13,5,3,8,25,-9
Indiana Pacers,IND vs. ATL,2014-04-19,L,240,93,34,81,42.0,9,21,42.9,16,23,69.6,14,32,46,19,8,4,17,29,-8
Miami Heat,MIA vs. SAS,2014-06-10,L,240,92,32,62,51.6,10,21,47.6,18,24,75.0,5,21,26,17,8,1,20,26,-19
Indiana Pacers,IND @ MIA,2014-05-30,L,240,92,32,69,46.4,10,25,40.0,18,24,75.0,4,24,28,14,5,2,12,17,-25
San Antonio Spurs,SAS @ OKC,2014-05-27,L,240,92,33,83,39.8,9,27,33.3,17,22,77.3,11,30,41,17,4,2,13,22,-13
San Antonio Spurs,SAS @ POR,2014-05-12,L,240,92,39,88,44.3,3,18,16.7,11,19,57.9,8,38,46,13,8,3,11,18,-11
Washington Wizards,WAS vs. IND,2014-05-11,L,240,92,36,79,45.6,5,15,33.3,15,19,78.9,7,29,36,22,11,8,14,23,-3
Portland Trail Blazers,POR @ SAS,2014-05-06,L,240,92,31,82,37.8,4,16,25.0,26,31,83.9,14,33,47,9,6,2,20,25,-24
Indiana Pacers,IND vs. ATL,2014-05-03,W,240,92,33,70,47.1,3,18,16.7,23,29,79.3,10,45,55,17,6,13,18,19,12
Oklahoma City Thunder,OKC @ MEM,2014-04-26,W,265,92,33,90,36.7,8,28,28.6,18,20,90.0,20,38,58,14,8,11,21,22,3
San Antonio Spurs,SAS vs. DAL,2014-04-23,L,240,92,32,64,50.0,10,20,50.0,18,29,62.1,9,23,32,17,1,3,24,19,-21
Indiana Pacers,IND @ ATL,2014-04-26,W,240,91,37,77,48.1,9,23,39.1,8,14,57.1,8,35,43,22,7,11,13,19,3
Miami Heat,MIA @ IND,2014-05-28,L,240,90,34,75,45.3,15,31,48.4,7,8,87.5,11,27,38,22,6,3,17,24,-3
Indiana Pacers,IND @ MIA,2014-05-26,L,240,90,35,71,49.3,9,21,42.9,11,17,64.7,9,28,37,18,1,1,14,27,-12
Miami Heat,MIA @ BKN,2014-05-10,L,240,90,31,68,45.6,8,24,33.3,20,25,80.0,5,22,27,13,8,6,10,20,-14
San Antonio Spurs,SAS vs. DAL,2014-04-20,W,240,90,35,81,43.2,3,17,17.6,17,22,77.3,8,40,48,14,6,3,10,16,5
Oklahoma City Thunder,OKC @ SAS,2014-05-29,L,240,89,35,81,43.2,6,24,25.0,13,20,65.0,8,27,35,19,6,4,11,24,-28
Dallas Mavericks,DAL vs. SAS,2014-04-28,L,240,89,32,84,38.1,7,24,29.2,18,28,64.3,16,33,49,18,8,3,9,23,-4
Chicago Bulls,CHI @ WAS,2014-04-27,L,240,89,35,78,44.9,4,19,21.1,15,17,88.2,13,29,42,22,2,4,16,22,-9
Memphis Grizzlies,MEM vs. OKC,2014-04-26,L,265,89,35,94,37.2,6,20,30.0,13,23,56.5,18,31,49,19,13,4,14,19,-3
Atlanta Hawks,ATL vs. IND,2014-05-01,L,240,88,29,81,35.8,9,35,25.7,21,24,87.5,11,33,44,14,7,5,14,23,-7
Atlanta Hawks,ATL vs. IND,2014-04-26,L,240,88,30,84,35.7,11,31,35.5,17,17,100,9,32,41,22,8,4,14,18,-3
Charlotte Bobcats,CHA @ MIA,2014-04-20,L,240,88,36,79,45.6,8,21,38.1,8,12,66.7,8,36,44,18,5,2,15,17,-11
Miami Heat,MIA @ SAS,2014-06-15,L,240,87,30,75,40.0,7,25,28.0,20,27,74.1,5,36,41,14,5,4,12,23,-17
Indiana Pacers,IND @ MIA,2014-05-24,L,240,87,31,65,47.7,6,21,28.6,19,25,76.0,6,23,29,17,7,1,19,22,-12
Miami Heat,MIA @ IND,2014-05-20,W,240,87,34,67,50.7,8,20,40.0,11,18,61.1,6,32,38,19,7,6,13,17,4
Toronto Raptors,TOR @ BKN,2014-04-27,W,240,87,31,75,41.3,6,23,26.1,19,23,82.6,9,34,43,15,9,3,12,29,8
Toronto Raptors,TOR vs. BKN,2014-04-19,L,240,87,28,71,39.4,8,23,34.8,23,25,92.0,8,37,45,22,3,4,19,23,-7
Miami Heat,MIA vs. SAS,2014-06-12,L,240,86,32,71,45.1,9,22,40.9,13,20,65.0,6,21,27,13,7,1,13,25,-21
Indiana Pacers,IND vs. WAS,2014-05-07,W,240,86,32,72,44.4,4,12,33.3,18,21,85.7,4,34,38,17,8,3,8,15,4
Brooklyn Nets,BKN @ MIA,2014-05-06,L,240,86,33,70,47.1,10,24,41.7,10,17,58.8,6,26,32,11,5,1,13,18,-21
Memphis Grizzlies,MEM @ OKC,2014-04-19,L,240,86,33,91,36.3,2,11,18.2,18,31,58.1,13,28,41,20,7,4,6,24,-14
Indiana Pacers,IND @ WAS,2014-05-09,W,240,85,31,74,41.9,7,15,46.7,16,21,76.2,4,38,42,20,9,6,10,20,22
Charlotte Bobcats,CHA vs. MIA,2014-04-26,L,240,85,27,65,41.5,7,18,38.9,24,33,72.7,4,34,38,21,3,8,14,18,-13
Indiana Pacers,IND @ ATL,2014-04-24,L,240,85,32,85,37.6,5,20,25.0,16,21,76.2,10,41,51,21,9,2,13,22,-13
Atlanta Hawks,ATL @ IND,2014-04-22,L,240,85,31,79,39.2,10,29,34.5,13,18,72.2,10,21,31,13,7,2,13,23,-16
Dallas Mavericks,DAL @ SAS,2014-04-20,L,240,85,35,85,41.2,6,18,33.3,9,13,69.2,9,31,40,15,5,5,8,19,-5
Memphis Grizzlies,MEM vs. OKC,2014-05-01,L,240,84,31,83,37.3,3,14,21.4,19,28,67.9,11,25,36,19,5,1,10,19,-20
Indiana Pacers,IND vs. MIA,2014-05-20,L,240,83,32,80,40.0,9,19,47.4,10,15,66.7,16,25,41,19,6,2,11,16,-4
Toronto Raptors,TOR @ BKN,2014-05-02,L,240,83,30,78,38.5,7,24,29.2,16,20,80.0,8,34,42,16,9,3,14,25,-14
Portland Trail Blazers,POR @ SAS,2014-05-14,L,240,82,33,81,40.7,5,19,26.3,11,17,64.7,7,38,45,18,3,2,18,16,-22
Brooklyn Nets,BKN @ MIA,2014-05-08,L,240,82,33,78,42.3,8,24,33.3,8,14,57.1,13,30,43,19,5,3,14,15,-12
Washington Wizards,WAS @ IND,2014-05-07,L,240,82,36,80,45.0,5,21,23.8,5,12,41.7,11,32,43,20,5,3,10,21,-4
Washington Wizards,WAS vs. IND,2014-05-15,L,240,80,31,79,39.2,2,18,11.1,16,20,80.0,9,31,40,17,4,3,11,23,-13
Atlanta Hawks,ATL @ IND,2014-05-03,L,240,80,28,92,30.4,11,44,25.0,13,16,81.3,15,23,38,16,9,4,10,24,-12
Indiana Pacers,IND vs. WAS,2014-05-13,L,240,79,30,77,39.0,6,15,40.0,13,22,59.1,4,19,23,19,8,5,11,20,-23
Brooklyn Nets,BKN vs. TOR,2014-04-27,L,240,79,28,68,41.2,4,20,20.0,19,29,65.5,10,33,43,17,6,3,16,25,-8
Oklahoma City Thunder,OKC @ SAS,2014-05-21,L,240,77,35,89,39.3,2,20,10.0,5,10,50.0,11,27,38,18,6,3,14,21,-35
Washington Wizards,WAS @ CHI,2014-04-29,W,240,75,30,74,40.5,2,9,22.2,13,19,68.4,13,36,49,16,9,11,13,19,6
Chicago Bulls,CHI vs. WAS,2014-04-29,L,240,69,25,75,33.3,6,16,37.5,13,17,76.5,11,32,43,19,4,8,11,17,-6
Washington Wizards,WAS vs. IND,2014-05-09,L,240,63,24,73,32.9,4,16,25.0,11,21,52.4,10,35,45,10,6,5,18,22,-22
