Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Los Angeles Clippers,LAC vs. GSW,2014-04-21,W,240,138,47,83,56.6,12,25,48.0,32,35,91.4,9,25,34,29,15,5,13,22,40
Los Angeles Clippers,LAC vs. GSW,2014-05-03,W,240,126,46,83,55.4,8,24,33.3,26,33,78.8,7,31,38,26,14,7,14,21,5
Portland Trail Blazers,POR vs. HOU,2014-04-27,W,265,123,45,91,49.5,11,28,39.3,22,30,73.3,11,33,44,25,10,8,11,24,3
San Antonio Spurs,SAS vs. OKC,2014-05-19,W,240,122,50,87,57.5,9,17,52.9,13,17,76.5,8,32,40,28,8,2,10,20,17
Los Angeles Clippers,LAC @ OKC,2014-05-05,W,240,122,45,82,54.9,15,29,51.7,17,30,56.7,6,25,31,26,8,1,9,24,17
Portland Trail Blazers,POR @ HOU,2014-04-20,W,265,122,42,97,43.3,9,27,33.3,29,39,74.4,17,37,54,14,7,6,12,32,2
Golden State Warriors,GSW @ LAC,2014-05-03,L,240,121,39,79,49.4,14,25,56.0,29,35,82.9,9,28,37,25,9,6,18,21,-5
Houston Rockets,HOU @ POR,2014-04-25,W,265,121,45,105,42.9,12,31,38.7,19,22,86.4,22,31,53,20,4,4,9,28,5
Oklahoma City Thunder,OKC vs. MEM,2014-05-03,W,240,120,42,69,60.9,11,19,57.9,25,30,83.3,9,24,33,22,7,2,20,28,11
Houston Rockets,HOU @ POR,2014-04-27,L,265,120,41,84,48.8,11,28,39.3,27,38,71.1,14,35,49,16,5,4,16,27,-3
Houston Rockets,HOU vs. POR,2014-04-20,L,265,120,43,105,41.0,8,35,22.9,26,40,65.0,22,37,59,16,5,7,13,33,-2
San Antonio Spurs,SAS vs. DAL,2014-05-04,W,240,119,42,74,56.8,10,24,41.7,25,33,75.8,6,34,40,21,10,4,12,21,23
San Antonio Spurs,SAS @ POR,2014-05-10,W,240,118,43,89,48.3,7,21,33.3,25,25,100,8,33,41,23,10,0,7,25,15
Oklahoma City Thunder,OKC @ LAC,2014-05-09,W,240,118,44,79,55.7,6,17,35.3,24,28,85.7,10,34,44,26,1,6,14,23,6
Golden State Warriors,GSW vs. LAC,2014-04-27,W,240,118,41,74,55.4,15,32,46.9,21,28,75.0,6,28,34,32,8,5,15,26,21
Miami Heat,MIA vs. IND,2014-05-30,W,240,117,44,76,57.9,11,26,42.3,18,21,85.7,8,29,37,24,7,4,11,22,25
San Antonio Spurs,SAS vs. OKC,2014-05-29,W,240,117,39,76,51.3,13,26,50.0,26,30,86.7,10,38,48,23,6,3,12,19,28
San Antonio Spurs,SAS vs. POR,2014-05-06,W,240,116,44,87,50.6,7,16,43.8,21,25,84.0,13,32,45,21,12,2,12,21,24
Portland Trail Blazers,POR vs. HOU,2014-04-25,L,265,116,41,90,45.6,10,27,37.0,24,28,85.7,13,34,47,21,5,10,11,24,-5
Toronto Raptors,TOR vs. BKN,2014-04-30,W,240,115,37,77,48.1,12,26,46.2,29,36,80.6,9,28,37,21,6,2,13,25,2
San Antonio Spurs,SAS vs. POR,2014-05-08,W,240,114,48,90,53.3,12,20,60.0,6,14,42.9,11,30,41,27,7,8,9,17,17
Dallas Mavericks,DAL vs. SAS,2014-05-02,W,240,113,45,87,51.7,8,18,44.4,15,24,62.5,13,27,40,18,8,2,16,20,2
Brooklyn Nets,BKN @ TOR,2014-04-30,L,240,113,40,75,53.3,11,23,47.8,22,30,73.3,10,24,34,22,8,4,15,27,-2
Los Angeles Clippers,LAC vs. GSW,2014-04-29,W,240,113,37,76,48.7,8,20,40.0,31,41,75.6,12,29,41,20,10,4,12,21,10
Dallas Mavericks,DAL @ SAS,2014-04-23,W,240,113,45,92,48.9,8,21,38.1,15,16,93.8,14,21,35,19,13,3,8,19,21
San Antonio Spurs,SAS @ OKC,2014-05-31,W,265,112,38,94,40.4,11,35,31.4,25,34,73.5,16,33,49,20,15,5,14,24,5
San Antonio Spurs,SAS vs. OKC,2014-05-21,W,240,112,41,82,50.0,9,23,39.1,21,23,91.3,11,42,53,27,8,7,12,15,35
Los Angeles Clippers,LAC vs. OKC,2014-05-09,L,240,112,42,93,45.2,7,26,26.9,21,25,84.0,14,19,33,25,5,7,6,26,-6
Oklahoma City Thunder,OKC vs. LAC,2014-05-07,W,240,112,44,87,50.6,8,23,34.8,16,22,72.7,15,37,52,23,8,2,16,21,11
Portland Trail Blazers,POR @ HOU,2014-04-23,W,240,112,40,84,47.6,8,23,34.8,24,27,88.9,11,32,43,23,5,11,14,28,7
San Antonio Spurs,SAS @ MIA,2014-06-10,W,240,111,38,64,59.4,9,20,45.0,26,32,81.3,5,24,29,21,12,4,13,25,19
San Antonio Spurs,SAS @ DAL,2014-05-02,L,240,111,40,75,53.3,7,16,43.8,24,28,85.7,6,33,39,21,9,4,14,26,-2
Memphis Grizzlies,MEM @ OKC,2014-04-21,W,265,111,43,87,49.4,4,10,40.0,21,24,87.5,12,35,47,30,5,3,9,20,6
San Antonio Spurs,SAS vs. MIA,2014-06-05,W,240,110,40,68,58.8,13,25,52.0,17,22,77.3,5,34,39,30,8,4,23,14,15
Memphis Grizzlies,MEM @ OKC,2014-05-03,L,240,109,37,83,44.6,5,17,29.4,30,34,88.2,10,19,29,22,13,1,14,22,-11
San Antonio Spurs,SAS vs. DAL,2014-04-30,W,240,109,41,88,46.6,8,16,50.0,19,27,70.4,12,35,47,24,6,5,6,15,6
Miami Heat,MIA @ CHA,2014-04-28,W,240,109,39,78,50.0,9,24,37.5,22,29,75.9,5,28,33,25,7,2,9,21,11
Dallas Mavericks,DAL vs. SAS,2014-04-26,W,240,109,42,82,51.2,9,23,39.1,16,19,84.2,10,25,35,25,4,6,17,19,1
Golden State Warriors,GSW @ LAC,2014-04-19,W,240,109,40,90,44.4,11,27,40.7,18,25,72.0,15,33,48,26,5,6,23,27,4
Houston Rockets,HOU vs. POR,2014-04-30,W,240,108,43,91,47.3,8,25,32.0,14,18,77.8,14,34,48,23,7,8,13,21,10
San Antonio Spurs,SAS @ DAL,2014-04-26,L,240,108,44,81,54.3,6,18,33.3,14,17,82.4,10,26,36,26,14,4,15,20,-1
San Antonio Spurs,SAS @ MIA,2014-06-12,W,240,107,40,70,57.1,9,21,42.9,18,25,72.0,12,32,44,25,8,4,14,19,21
Oklahoma City Thunder,OKC vs. SAS,2014-05-31,L,265,107,35,82,42.7,8,27,29.6,29,33,87.9,7,38,45,19,9,7,20,29,-5
Indiana Pacers,IND vs. MIA,2014-05-18,W,240,107,35,68,51.5,8,19,42.1,29,37,78.4,7,31,38,23,4,3,12,15,11
Miami Heat,MIA vs. BKN,2014-05-06,W,240,107,42,74,56.8,9,23,39.1,14,16,87.5,4,33,37,22,4,4,10,17,21
Atlanta Hawks,ATL @ IND,2014-04-28,W,240,107,33,66,50.0,15,27,55.6,26,33,78.8,6,32,38,19,5,6,18,19,10
Oklahoma City Thunder,OKC vs. SAS,2014-05-25,W,240,106,37,81,45.7,6,22,27.3,26,31,83.9,15,37,52,17,7,10,18,24,9
Oklahoma City Thunder,OKC vs. SAS,2014-05-27,W,240,105,37,76,48.7,7,16,43.8,24,31,77.4,5,37,42,22,12,8,7,20,13
Oklahoma City Thunder,OKC @ SAS,2014-05-19,L,240,105,37,80,46.3,12,27,44.4,19,23,82.6,9,28,37,19,4,3,16,22,-17
Oklahoma City Thunder,OKC vs. LAC,2014-05-13,W,240,105,33,77,42.9,7,17,41.2,32,36,88.9,7,37,44,14,9,5,13,21,1
Oklahoma City Thunder,OKC vs. LAC,2014-05-05,L,240,105,39,85,45.9,9,28,32.1,18,23,78.3,15,32,47,17,5,4,18,22,-17
Houston Rockets,HOU vs. POR,2014-04-23,L,240,105,39,90,43.3,3,16,18.8,24,30,80.0,14,28,42,16,7,4,15,27,-7
Oklahoma City Thunder,OKC vs. MEM,2014-04-21,L,265,105,37,93,39.8,9,30,30.0,22,25,88.0,16,33,49,20,6,10,9,22,-6
Los Angeles Clippers,LAC vs. GSW,2014-04-19,L,240,105,36,85,42.4,10,22,45.5,23,35,65.7,16,26,42,24,13,7,17,24,-4
San Antonio Spurs,SAS vs. MIA,2014-06-15,W,240,104,37,78,47.4,12,26,46.2,18,23,78.3,6,34,40,25,5,4,8,21,17
Oklahoma City Thunder,OKC @ LAC,2014-05-15,W,240,104,33,72,45.8,9,25,36.0,29,33,87.9,7,36,43,25,5,5,15,22,6
San Antonio Spurs,SAS vs. POR,2014-05-14,W,240,104,42,89,47.2,9,21,42.9,11,16,68.8,9,38,47,24,13,4,8,19,22
Los Angeles Clippers,LAC @ OKC,2014-05-13,L,240,104,38,88,43.2,12,27,44.4,16,20,80.0,12,32,44,21,7,4,17,28,-1
Brooklyn Nets,BKN vs. MIA,2014-05-10,W,240,104,38,72,52.8,15,25,60.0,13,17,76.5,9,34,43,26,6,1,15,23,14
Brooklyn Nets,BKN @ TOR,2014-05-04,W,240,104,37,81,45.7,8,23,34.8,22,30,73.3,16,26,42,16,5,3,8,26,1
Oklahoma City Thunder,OKC @ MEM,2014-05-01,W,240,104,37,75,49.3,7,21,33.3,23,25,92.0,8,39,47,15,7,11,13,19,20
Portland Trail Blazers,POR vs. SAS,2014-05-12,W,240,103,43,98,43.9,7,21,33.3,10,13,76.9,14,39,53,17,4,4,13,20,11
Portland Trail Blazers,POR vs. SAS,2014-05-10,L,240,103,36,84,42.9,8,23,34.8,23,31,74.2,7,34,41,23,5,0,15,20,-15
Toronto Raptors,TOR vs. BKN,2014-05-04,L,240,103,35,73,47.9,4,13,30.8,29,33,87.9,10,28,38,13,4,3,9,27,-1
Dallas Mavericks,DAL @ SAS,2014-04-30,L,240,103,39,89,43.8,12,28,42.9,13,15,86.7,9,38,47,18,2,8,8,21,-6
Golden State Warriors,GSW @ LAC,2014-04-29,L,240,103,40,85,47.1,10,26,38.5,13,19,68.4,13,29,42,24,6,1,14,28,-10
Miami Heat,MIA vs. IND,2014-05-26,W,240,102,32,69,46.4,8,24,33.3,30,34,88.2,6,28,34,16,7,2,7,17,12
Washington Wizards,WAS @ IND,2014-05-13,W,240,102,41,82,50.0,5,18,27.8,15,19,78.9,18,44,62,21,8,3,19,22,23
Miami Heat,MIA @ BKN,2014-05-12,W,240,102,37,70,52.9,8,24,33.3,20,27,74.1,7,27,34,14,8,6,10,23,6
Washington Wizards,WAS @ IND,2014-05-05,W,240,102,35,84,41.7,10,16,62.5,22,31,71.0,17,36,53,23,7,7,17,23,6
Brooklyn Nets,BKN vs. TOR,2014-04-25,W,240,102,33,67,49.3,7,20,35.0,29,37,78.4,3,26,29,21,7,2,12,32,4
Washington Wizards,WAS @ CHI,2014-04-20,W,240,102,36,74,48.6,4,11,36.4,26,35,74.3,9,36,45,21,5,5,10,26,9
Los Angeles Clippers,LAC vs. OKC,2014-05-11,W,240,101,39,93,41.9,3,21,14.3,20,29,69.0,15,30,45,23,11,4,9,24,2
