Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Miami Heat,MIA @ TOR,2016-05-03,W,265,102,40,89,44.9,8,11,72.7,14,21,66.7,11,41,52,12,12,4,20,17,6
Toronto Raptors,TOR vs. IND,2016-04-26,W,240,102,33,82,40.2,6,26,23.1,30,35,85.7,12,29,41,12,9,3,8,18,3
Dallas Mavericks,DAL vs. OKC,2016-04-21,L,240,102,36,76,47.4,6,23,26.1,24,35,68.6,6,23,29,24,9,3,12,27,-29
LA Clippers,LAC vs. POR,2016-04-20,W,240,102,40,87,46.0,8,21,38.1,14,25,56.0,12,40,52,20,7,9,10,18,21
Atlanta Hawks,ATL vs. BOS,2016-04-16,W,240,102,35,86,40.7,5,26,19.2,27,35,77.1,13,40,53,23,4,9,12,20,1
Golden State Warriors,GSW @ CLE,2016-06-16,L,240,101,33,82,40.2,15,39,38.5,20,29,69.0,9,26,35,19,5,3,14,25,-14
Oklahoma City Thunder,OKC vs. GSW,2016-05-28,L,240,101,38,90,42.2,3,23,13.0,22,32,68.8,16,33,49,16,9,10,15,22,-7
Indiana Pacers,IND vs. TOR,2016-04-29,W,240,101,35,76,46.1,8,22,36.4,23,26,88.5,12,32,44,21,12,7,14,25,18
Cleveland Cavaliers,CLE @ DET,2016-04-22,W,240,101,39,80,48.8,12,29,41.4,11,15,73.3,12,34,46,24,3,4,10,17,10
Toronto Raptors,TOR @ IND,2016-04-21,W,240,101,39,94,41.5,10,31,32.3,13,16,81.3,15,30,45,18,6,4,11,27,16
Detroit Pistons,DET @ CLE,2016-04-17,L,240,101,37,73,50.7,15,29,51.7,12,16,75.0,5,32,37,24,4,2,12,21,-5
Boston Celtics,BOS @ ATL,2016-04-16,L,240,101,37,102,36.3,11,35,31.4,16,19,84.2,15,35,50,27,6,6,10,32,-1
Cleveland Cavaliers,CLE @ ATL,2016-05-08,W,240,100,38,88,43.2,16,37,43.2,8,13,61.5,14,27,41,23,6,7,15,14,1
San Antonio Spurs,SAS @ OKC,2016-05-06,W,240,100,33,76,43.4,10,19,52.6,24,34,70.6,4,33,37,19,8,6,10,19,4
Cleveland Cavaliers,CLE @ DET,2016-04-24,W,240,100,36,86,41.9,13,36,36.1,15,17,88.2,10,31,41,16,6,1,6,22,2
Indiana Pacers,IND vs. TOR,2016-04-23,W,240,100,40,85,47.1,6,16,37.5,14,18,77.8,15,28,43,24,10,5,13,22,17
Indiana Pacers,IND @ TOR,2016-04-16,W,240,100,34,79,43.0,11,21,52.4,21,29,72.4,9,29,38,19,11,8,13,25,10
Cleveland Cavaliers,CLE @ TOR,2016-05-23,L,240,99,39,83,47.0,13,41,31.7,8,9,88.9,10,28,38,23,5,2,11,17,-6
Toronto Raptors,TOR vs. CLE,2016-05-21,W,240,99,38,83,45.8,12,31,38.7,11,13,84.6,12,42,54,15,1,4,10,17,15
San Antonio Spurs,SAS @ OKC,2016-05-12,L,240,99,40,93,43.0,6,17,35.3,13,16,81.3,10,30,40,19,7,3,10,21,-14
Toronto Raptors,TOR vs. MIA,2016-05-11,W,240,99,35,81,43.2,7,17,41.2,22,26,84.6,11,28,39,16,10,7,9,20,8
Atlanta Hawks,ATL vs. CLE,2016-05-08,L,240,99,40,83,48.2,9,31,29.0,10,14,71.4,9,33,42,22,10,7,13,16,-1
Portland Trail Blazers,POR @ GSW,2016-05-03,L,240,99,36,81,44.4,13,30,43.3,14,21,66.7,6,33,39,22,5,5,17,25,-11
Indiana Pacers,IND @ TOR,2016-04-26,L,240,99,33,73,45.2,13,29,44.8,20,23,87.0,8,33,41,22,5,5,16,26,-3
Atlanta Hawks,ATL @ CLE,2016-05-04,L,240,98,30,71,42.3,11,27,40.7,27,30,90.0,8,32,40,18,3,3,16,23,-25
Oklahoma City Thunder,OKC @ SAS,2016-05-02,W,240,98,38,79,48.1,5,19,26.3,17,21,81.0,9,39,48,16,8,8,18,19,1
LA Clippers,LAC vs. POR,2016-04-27,L,240,98,36,86,41.9,6,20,30.0,20,30,66.7,8,37,45,20,8,3,10,24,-10
Portland Trail Blazers,POR vs. LAC,2016-04-25,W,240,98,36,88,40.9,13,31,41.9,13,15,86.7,16,42,58,27,5,7,17,25,14
Detroit Pistons,DET vs. CLE,2016-04-24,L,240,98,37,76,48.7,10,24,41.7,14,21,66.7,7,35,42,22,3,4,9,18,-2
Toronto Raptors,TOR vs. IND,2016-04-18,W,240,98,35,80,43.8,5,18,27.8,23,25,92.0,12,32,44,19,8,5,13,25,11
Golden State Warriors,GSW vs. CLE,2016-06-13,L,240,97,32,88,36.4,14,43,32.6,19,26,73.1,13,30,43,18,6,9,17,21,-15
Cleveland Cavaliers,CLE vs. GSW,2016-06-10,L,240,97,38,81,46.9,6,25,24.0,15,26,57.7,16,24,40,15,5,6,11,24,-11
San Antonio Spurs,SAS @ OKC,2016-05-08,L,240,97,40,85,47.1,2,12,16.7,15,16,93.8,9,25,34,12,11,2,14,21,-14
San Antonio Spurs,SAS vs. OKC,2016-05-02,L,240,97,40,94,42.6,6,23,26.1,11,13,84.6,9,28,37,19,10,6,10,16,-1
Miami Heat,MIA @ CHA,2016-04-29,W,240,97,38,83,45.8,8,16,50.0,13,15,86.7,11,35,46,14,4,10,13,24,7
Houston Rockets,HOU vs. GSW,2016-04-21,W,240,97,36,92,39.1,11,36,30.6,14,23,60.9,16,36,52,18,9,4,16,24,1
Golden State Warriors,GSW vs. OKC,2016-05-30,W,240,96,37,85,43.5,17,37,45.9,5,8,62.5,10,36,46,20,4,4,11,16,8
Oklahoma City Thunder,OKC vs. SAS,2016-05-06,L,240,96,34,82,41.5,10,30,33.3,18,20,90.0,11,31,42,14,5,5,14,23,-4
Toronto Raptors,TOR vs. MIA,2016-05-05,W,265,96,39,93,41.9,4,18,22.2,14,26,53.8,13,26,39,14,15,1,10,21,4
Toronto Raptors,TOR vs. MIA,2016-05-03,L,265,96,40,89,44.9,5,21,23.8,11,15,73.3,4,37,41,19,10,6,15,25,-6
Portland Trail Blazers,POR vs. LAC,2016-04-23,W,240,96,37,87,42.5,6,25,24.0,16,23,69.6,16,40,56,15,5,3,16,24,8
Charlotte Hornets,CHA vs. MIA,2016-04-23,W,240,96,35,90,38.9,5,18,27.8,21,22,95.5,9,38,47,18,5,4,4,24,16
San Antonio Spurs,SAS @ MEM,2016-04-22,W,240,96,35,77,45.5,12,26,46.2,14,19,73.7,7,32,39,24,10,12,11,20,9
Golden State Warriors,GSW @ HOU,2016-04-21,L,240,96,34,79,43.0,6,25,24.0,22,29,75.9,8,35,43,23,6,6,14,23,-1
Oklahoma City Thunder,OKC @ SAS,2016-05-10,W,240,95,34,78,43.6,7,20,35.0,20,26,76.9,15,39,54,18,6,6,20,22,4
Toronto Raptors,TOR @ MIA,2016-05-07,W,240,95,33,70,47.1,8,18,44.4,21,28,75.0,6,29,35,16,5,0,13,22,4
Atlanta Hawks,ATL @ BOS,2016-04-24,L,265,95,37,99,37.4,12,42,28.6,9,13,69.2,12,37,49,18,8,6,15,20,-9
Memphis Grizzlies,MEM vs. SAS,2016-04-24,L,240,95,35,78,44.9,5,13,38.5,20,27,74.1,14,23,37,18,6,5,17,29,-21
Portland Trail Blazers,POR @ LAC,2016-04-17,L,240,95,33,83,39.8,10,30,33.3,19,26,73.1,10,30,40,23,6,2,12,28,-20
Golden State Warriors,GSW @ OKC,2016-05-24,L,240,94,33,80,41.3,9,30,30.0,19,29,65.5,8,32,40,15,11,4,21,26,-24
Miami Heat,MIA vs. TOR,2016-05-09,W,265,94,36,80,45.0,1,15,6.7,21,25,84.0,6,33,39,15,9,5,12,15,7
Houston Rockets,HOU vs. GSW,2016-04-24,L,240,94,33,78,42.3,5,27,18.5,23,38,60.5,9,35,44,18,11,3,18,20,-27
San Antonio Spurs,SAS vs. MEM,2016-04-19,W,240,94,31,66,47.0,9,17,52.9,23,28,82.1,3,41,44,19,8,10,19,18,26
Cleveland Cavaliers,CLE @ GSW,2016-06-19,W,240,93,33,82,40.2,6,25,24.0,21,25,84.0,9,39,48,17,7,6,11,15,4
Atlanta Hawks,ATL @ CLE,2016-05-02,L,240,93,33,87,37.9,11,34,32.4,16,21,76.2,15,33,48,21,6,7,12,22,-11
Miami Heat,MIA @ TOR,2016-05-05,L,265,92,39,79,49.4,5,14,35.7,9,13,69.2,9,36,45,14,6,7,21,21,-4
Oklahoma City Thunder,OKC @ SAS,2016-04-30,L,240,92,35,85,41.2,6,23,26.1,16,21,76.2,11,27,38,23,6,2,10,13,-32
Boston Celtics,BOS vs. ATL,2016-04-28,L,240,92,34,94,36.2,7,32,21.9,17,18,94.4,10,33,43,16,5,4,12,29,-12
Oklahoma City Thunder,OKC @ GSW,2016-05-18,L,240,91,35,78,44.9,7,23,30.4,14,19,73.7,7,29,36,22,9,4,16,22,-27
Toronto Raptors,TOR @ MIA,2016-05-13,L,240,91,34,82,41.5,4,16,25.0,19,25,76.0,8,35,43,10,4,4,10,18,-12
Miami Heat,MIA @ TOR,2016-05-11,L,240,91,31,77,40.3,6,21,28.6,23,28,82.1,13,31,44,12,4,2,15,22,-8
San Antonio Spurs,SAS vs. OKC,2016-05-10,L,240,91,35,88,39.8,8,18,44.4,13,17,76.5,10,26,36,19,11,6,8,19,-4
Miami Heat,MIA vs. TOR,2016-05-07,L,240,91,33,77,42.9,4,18,22.2,21,24,87.5,8,30,38,11,8,2,10,24,-4
Detroit Pistons,DET vs. CLE,2016-04-22,L,240,91,36,74,48.6,6,23,26.1,13,19,68.4,5,27,32,22,7,3,8,19,-10
Charlotte Hornets,CHA @ MIA,2016-04-17,L,240,91,28,65,43.1,6,17,35.3,29,37,78.4,7,21,28,11,5,2,11,17,-32
Golden State Warriors,GSW @ CLE,2016-06-08,L,240,90,32,76,42.1,9,33,27.3,17,26,65.4,8,24,32,21,5,4,18,23,-30
Charlotte Hornets,CHA vs. MIA,2016-04-29,L,240,90,32,76,42.1,5,17,29.4,21,25,84.0,5,26,31,12,8,5,11,17,-7
Charlotte Hornets,CHA @ MIA,2016-04-27,W,240,90,33,84,39.3,12,24,50.0,12,15,80.0,5,36,41,21,8,3,12,14,2
Detroit Pistons,DET @ CLE,2016-04-20,L,240,90,34,78,43.6,4,17,23.5,18,32,56.3,11,29,40,19,7,4,13,18,-17
Toronto Raptors,TOR vs. IND,2016-04-16,L,240,90,30,79,38.0,4,19,21.1,26,38,68.4,20,32,52,17,6,5,20,27,-10
Golden State Warriors,GSW vs. CLE,2016-06-19,L,240,89,32,83,38.6,15,41,36.6,10,13,76.9,7,32,39,22,7,5,10,23,-4
Cleveland Cavaliers,CLE @ GSW,2016-06-02,L,240,89,32,84,38.1,7,21,33.3,18,20,90.0,15,32,47,17,7,4,17,17,-15
Toronto Raptors,TOR @ CLE,2016-05-19,L,240,89,33,82,40.2,9,33,27.3,14,18,77.8,7,31,38,17,6,4,12,31,-19
Miami Heat,MIA @ TOR,2016-05-15,L,240,89,32,72,44.4,7,25,28.0,18,23,78.3,7,23,30,16,6,7,14,29,-27
Toronto Raptors,TOR vs. IND,2016-05-01,W,240,89,34,89,38.2,8,24,33.3,13,17,76.5,18,31,49,21,7,7,9,12,5
Charlotte Hornets,CHA vs. MIA,2016-04-25,W,240,89,30,75,40.0,4,16,25.0,25,30,83.3,6,30,36,10,7,7,10,20,4
Atlanta Hawks,ATL vs. BOS,2016-04-19,W,240,89,32,82,39.0,11,29,37.9,14,16,87.5,3,46,49,20,7,15,16,16,17
Oklahoma City Thunder,OKC @ GSW,2016-05-30,L,240,88,34,89,38.2,7,27,25.9,13,17,76.5,14,33,47,20,3,5,7,11,-8
Miami Heat,MIA vs. CHA,2016-04-27,L,240,88,34,81,42.0,5,18,27.8,15,19,78.9,6,44,50,17,7,6,14,16,-2
LA Clippers,LAC @ POR,2016-04-23,L,240,88,36,88,40.9,3,18,16.7,13,23,56.5,11,33,44,15,11,4,10,17,-8
Toronto Raptors,TOR vs. CLE,2016-05-27,L,240,87,33,79,41.8,8,25,32.0,13,17,76.5,7,26,33,10,6,2,13,19,-26
Toronto Raptors,TOR @ MIA,2016-05-09,L,265,87,33,84,39.3,6,20,30.0,15,19,78.9,7,32,39,12,7,2,18,23,-7
Memphis Grizzlies,MEM vs. SAS,2016-04-22,L,240,87,34,82,41.5,4,18,22.2,15,19,78.9,15,33,48,17,4,4,14,17,-9
Indiana Pacers,IND @ TOR,2016-04-18,L,240,87,29,70,41.4,4,20,20.0,25,30,83.3,6,27,33,13,7,3,13,23,-11
Miami Heat,MIA @ CHA,2016-04-25,L,240,85,30,76,39.5,11,29,37.9,14,21,66.7,10,36,46,20,2,8,17,26,-4
Indiana Pacers,IND vs. TOR,2016-04-21,L,240,85,26,68,38.2,6,22,27.3,27,33,81.8,9,29,38,16,3,6,17,18,-16
Dallas Mavericks,DAL @ OKC,2016-04-18,W,240,85,35,82,42.7,5,19,26.3,10,19,52.6,11,34,45,14,8,4,13,17,1
Cleveland Cavaliers,CLE @ TOR,2016-05-21,L,240,84,28,79,35.4,14,41,34.1,14,16,87.5,8,32,40,15,7,5,9,10,-15
Toronto Raptors,TOR @ CLE,2016-05-17,L,240,84,32,76,42.1,5,24,20.8,15,20,75.0,4,19,23,19,8,1,14,25,-31
Indiana Pacers,IND @ TOR,2016-05-01,L,240,84,34,73,46.6,9,19,47.4,7,8,87.5,5,33,38,12,5,5,15,17,-5
LA Clippers,LAC @ POR,2016-04-25,L,240,84,30,84,35.7,7,25,28.0,17,28,60.7,10,32,42,16,10,4,9,17,-14
Oklahoma City Thunder,OKC vs. DAL,2016-04-18,L,240,84,31,92,33.7,7,32,21.9,15,18,83.3,19,35,54,11,9,4,15,19,-1
Toronto Raptors,TOR @ IND,2016-04-29,L,240,83,29,79,36.7,9,29,31.0,16,25,64.0,15,25,40,14,9,5,17,23,-18
Boston Celtics,BOS @ ATL,2016-04-26,L,240,83,29,77,37.7,7,29,24.1,18,25,72.0,10,34,44,19,5,6,20,17,-27
Toronto Raptors,TOR @ IND,2016-04-23,L,240,83,27,74,36.5,8,30,26.7,21,30,70.0,11,29,40,12,8,3,19,20,-17
Houston Rockets,HOU @ GSW,2016-04-27,L,240,81,31,95,32.6,6,32,18.8,13,19,68.4,22,31,53,17,8,3,18,22,-33
Portland Trail Blazers,POR @ LAC,2016-04-20,L,240,81,31,91,34.1,5,26,19.2,14,16,87.5,15,37,52,20,6,3,11,20,-21
Miami Heat,MIA @ CHA,2016-04-23,L,240,80,27,79,34.2,7,22,31.8,19,30,63.3,12,41,53,13,1,8,15,20,-16
Toronto Raptors,TOR @ CLE,2016-05-25,L,240,78,27,69,39.1,3,17,17.6,21,35,60.0,5,22,27,19,9,3,19,25,-38
Houston Rockets,HOU @ GSW,2016-04-16,L,240,78,30,84,35.7,6,22,27.3,12,24,50.0,13,38,51,16,10,6,24,28,-26
Cleveland Cavaliers,CLE @ GSW,2016-06-05,L,240,77,28,79,35.4,5,23,21.7,16,24,66.7,9,25,34,15,15,3,18,19,-33
Memphis Grizzlies,MEM @ SAS,2016-04-17,L,240,74,31,79,39.2,8,18,44.4,4,6,66.7,10,25,35,17,7,5,17,16,-32
Charlotte Hornets,CHA @ MIA,2016-05-01,L,240,73,27,84,32.1,7,22,31.8,12,12,100,3,33,36,14,4,1,10,14,-33
Boston Celtics,BOS @ ATL,2016-04-19,L,240,72,28,88,31.8,5,28,17.9,11,12,91.7,10,33,43,16,5,10,16,15,-17
Dallas Mavericks,DAL @ OKC,2016-04-16,L,240,70,25,84,29.8,4,18,22.2,16,26,61.5,9,24,33,16,5,0,13,25,-38
Memphis Grizzlies,MEM @ SAS,2016-04-19,L,240,68,28,86,32.6,2,15,13.3,10,18,55.6,16,28,44,14,14,2,14,24,-26
