Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Oklahoma City Thunder,OKC vs. GSW,2016-05-22,W,240,133,46,92,50.0,8,25,32.0,33,37,89.2,11,41,52,21,6,8,12,23,28
Golden State Warriors,GSW @ POR,2016-05-09,W,265,132,44,95,46.3,17,40,42.5,27,33,81.8,10,39,49,22,13,10,14,27,7
Oklahoma City Thunder,OKC @ DAL,2016-04-21,W,240,131,45,78,57.7,15,27,55.6,26,35,74.3,9,33,42,28,10,5,14,27,29
Golden State Warriors,GSW vs. POR,2016-05-11,W,240,125,43,84,51.2,14,32,43.8,25,29,86.2,9,35,44,28,5,4,16,25,4
Portland Trail Blazers,POR vs. GSW,2016-05-09,L,265,125,43,106,40.6,15,39,38.5,24,33,72.7,18,34,52,22,8,3,18,29,-7
San Antonio Spurs,SAS vs. OKC,2016-04-30,W,240,124,51,84,60.7,9,15,60.0,13,18,72.2,5,38,43,39,5,10,9,16,32
Cleveland Cavaliers,CLE vs. ATL,2016-05-04,W,240,123,41,87,47.1,25,45,55.6,16,23,69.6,12,31,43,27,8,1,10,22,25
Miami Heat,MIA vs. CHA,2016-04-17,W,240,123,49,85,57.6,9,18,50.0,16,21,76.2,14,28,42,27,7,4,6,24,32
Portland Trail Blazers,POR @ GSW,2016-05-11,L,240,121,38,92,41.3,16,36,44.4,29,39,74.4,13,34,47,20,9,4,11,23,-4
Cleveland Cavaliers,CLE @ ATL,2016-05-06,W,240,121,42,85,49.4,21,39,53.8,16,27,59.3,18,37,55,26,9,1,20,21,13
Golden State Warriors,GSW @ HOU,2016-04-24,W,240,121,46,89,51.7,21,40,52.5,8,16,50.0,7,36,43,38,10,2,16,26,27
Cleveland Cavaliers,CLE vs. GSW,2016-06-08,W,240,120,48,91,52.7,12,25,48.0,12,17,70.6,17,35,52,23,8,3,14,25,30
Golden State Warriors,GSW vs. OKC,2016-05-26,W,240,120,40,85,47.1,9,24,37.5,31,34,91.2,11,34,45,25,13,7,16,18,9
Portland Trail Blazers,POR vs. GSW,2016-05-07,W,240,120,40,86,46.5,17,30,56.7,23,29,79.3,11,30,41,19,5,4,10,19,12
Oklahoma City Thunder,OKC @ DAL,2016-04-23,W,240,119,44,83,53.0,7,16,43.8,24,34,70.6,12,30,42,26,6,3,9,19,11
Oklahoma City Thunder,OKC vs. GSW,2016-05-24,W,240,118,39,90,43.3,9,26,34.6,31,40,77.5,16,40,56,23,16,8,18,22,24
Golden State Warriors,GSW vs. OKC,2016-05-18,W,240,118,43,85,50.6,13,28,46.4,19,28,67.9,15,30,45,26,9,3,12,21,27
Golden State Warriors,GSW vs. POR,2016-05-01,W,240,118,43,91,47.3,11,31,35.5,21,24,87.5,16,39,55,27,8,8,12,22,12
Oklahoma City Thunder,OKC vs. DAL,2016-04-25,W,240,118,41,81,50.6,10,30,33.3,26,32,81.3,14,28,42,19,6,5,9,22,14
Cleveland Cavaliers,CLE vs. TOR,2016-05-25,W,240,116,44,77,57.1,10,21,47.6,18,24,75.0,10,38,48,23,11,6,17,26,38
Toronto Raptors,TOR vs. MIA,2016-05-15,W,240,116,39,85,45.9,9,20,45.0,29,43,67.4,20,30,50,17,8,4,11,23,27
San Antonio Spurs,SAS @ MEM,2016-04-24,W,240,116,40,81,49.4,10,22,45.5,26,31,83.9,13,28,41,21,8,6,12,21,21
Cleveland Cavaliers,CLE vs. GSW,2016-06-16,W,240,115,40,77,51.9,10,27,37.0,25,32,78.1,8,37,45,24,12,7,12,25,14
Cleveland Cavaliers,CLE vs. TOR,2016-05-17,W,240,115,41,74,55.4,7,20,35.0,26,33,78.8,10,35,45,22,9,4,17,20,31
Miami Heat,MIA vs. CHA,2016-04-20,W,240,115,44,76,57.9,9,16,56.3,18,22,81.8,3,32,35,19,6,6,11,25,12
Golden State Warriors,GSW vs. HOU,2016-04-18,W,240,115,40,81,49.4,8,23,34.8,27,38,71.1,13,26,39,27,10,6,13,24,9
LA Clippers,LAC vs. POR,2016-04-17,W,240,115,42,78,53.8,6,17,35.3,25,39,64.1,11,37,48,23,7,7,10,23,20
Golden State Warriors,GSW vs. HOU,2016-04-27,W,240,114,45,82,54.9,13,31,41.9,11,19,57.9,6,34,40,30,10,6,10,16,33
Cleveland Cavaliers,CLE @ TOR,2016-05-27,W,240,113,40,74,54.1,17,31,54.8,16,21,76.2,4,34,38,22,6,6,11,18,26
Oklahoma City Thunder,OKC vs. SAS,2016-05-12,W,240,113,40,85,47.1,6,22,27.3,27,31,87.1,14,36,50,21,7,7,12,18,14
Cleveland Cavaliers,CLE @ GSW,2016-06-13,W,240,112,44,83,53.0,10,24,41.7,14,23,60.9,8,33,41,15,11,9,16,22,15
Oklahoma City Thunder,OKC @ GSW,2016-05-26,L,240,111,39,91,42.9,13,30,43.3,20,24,83.3,13,32,45,23,8,2,17,26,-9
Oklahoma City Thunder,OKC vs. SAS,2016-05-08,W,240,111,40,79,50.6,9,23,39.1,22,29,75.9,10,30,40,23,6,3,14,18,14
Boston Celtics,BOS vs. ATL,2016-04-22,W,240,111,38,82,46.3,11,32,34.4,24,33,72.7,7,37,44,23,10,6,16,20,8
Golden State Warriors,GSW vs. CLE,2016-06-05,W,240,110,44,81,54.3,15,33,45.5,7,10,70.0,12,34,46,26,7,9,21,20,33
Golden State Warriors,GSW vs. POR,2016-05-03,W,240,110,42,91,46.2,8,24,33.3,18,20,90.0,10,38,48,21,4,9,10,23,11
Atlanta Hawks,ATL vs. BOS,2016-04-26,W,240,110,42,96,43.8,14,35,40.0,12,16,75.0,13,38,51,30,13,3,12,17,27
Golden State Warriors,GSW @ CLE,2016-06-10,W,240,108,33,81,40.7,17,36,47.2,25,31,80.6,14,29,43,23,7,6,9,22,11
Golden State Warriors,GSW @ OKC,2016-05-28,W,240,108,36,88,40.9,21,45,46.7,15,24,62.5,13,31,44,23,11,4,15,25,7
Cleveland Cavaliers,CLE vs. TOR,2016-05-19,W,240,108,38,76,50.0,7,21,33.3,25,37,67.6,7,39,46,24,5,2,11,16,19
Oklahoma City Thunder,OKC @ GSW,2016-05-16,W,240,108,39,89,43.8,8,17,47.1,22,32,68.8,10,42,52,22,12,6,12,15,6
Golden State Warriors,GSW @ POR,2016-05-07,L,240,108,42,88,47.7,14,29,48.3,10,17,58.8,11,31,42,29,4,6,12,20,-12
Atlanta Hawks,ATL vs. CLE,2016-05-06,L,240,108,41,84,48.8,16,34,47.1,10,12,83.3,6,22,28,29,8,7,14,21,-13
Portland Trail Blazers,POR @ LAC,2016-04-27,W,240,108,37,83,44.6,12,34,35.3,22,34,64.7,9,44,53,22,8,4,10,23,10
Dallas Mavericks,DAL vs. OKC,2016-04-23,L,240,108,43,83,51.8,8,23,34.8,14,17,82.4,7,26,33,25,3,2,12,27,-11
Oklahoma City Thunder,OKC vs. DAL,2016-04-16,W,240,108,36,80,45.0,12,35,34.3,24,28,85.7,14,42,56,23,7,6,18,25,38
Cleveland Cavaliers,CLE vs. DET,2016-04-20,W,240,107,40,80,50.0,20,38,52.6,7,14,50.0,6,31,37,23,7,1,13,24,17
Miami Heat,MIA vs. CHA,2016-05-01,W,240,106,43,89,48.3,9,24,37.5,11,16,68.8,10,48,58,24,2,8,9,16,33
Portland Trail Blazers,POR @ GSW,2016-05-01,L,240,106,39,97,40.2,10,31,32.3,18,21,85.7,10,30,40,26,7,6,9,19,-12
Portland Trail Blazers,POR vs. LAC,2016-04-29,W,240,106,38,86,44.2,14,32,43.8,16,24,66.7,18,28,46,21,4,2,13,23,3
Houston Rockets,HOU @ GSW,2016-04-18,L,240,106,35,79,44.3,10,25,40.0,26,33,78.8,12,25,37,21,4,5,19,34,-9
San Antonio Spurs,SAS vs. MEM,2016-04-17,W,240,106,42,81,51.9,10,22,45.5,12,13,92.3,9,35,44,22,13,9,13,11,32
Cleveland Cavaliers,CLE vs. DET,2016-04-17,W,240,106,39,88,44.3,12,35,34.3,16,21,76.2,12,28,40,25,7,4,5,18,5
Toronto Raptors,TOR vs. CLE,2016-05-23,W,240,105,42,78,53.8,7,22,31.8,14,19,73.7,9,26,35,17,8,3,9,16,6
Golden State Warriors,GSW @ OKC,2016-05-22,L,240,105,38,92,41.3,10,32,31.3,19,25,76.0,10,28,38,19,9,1,14,21,-28
Golden State Warriors,GSW vs. CLE,2016-06-02,W,240,104,43,87,49.4,9,27,33.3,9,10,90.0,9,32,41,29,9,4,9,16,15
Cleveland Cavaliers,CLE vs. ATL,2016-05-02,W,240,104,37,83,44.6,15,31,48.4,15,21,71.4,10,34,44,27,9,7,8,20,11
Atlanta Hawks,ATL @ BOS,2016-04-28,W,240,104,38,74,51.4,8,24,33.3,20,27,74.1,3,39,42,26,6,12,20,23,12
Dallas Mavericks,DAL @ OKC,2016-04-25,L,240,104,38,81,46.9,8,24,33.3,20,24,83.3,13,22,35,24,5,3,9,24,-14
Boston Celtics,BOS vs. ATL,2016-04-24,W,265,104,40,94,42.6,11,33,33.3,13,19,68.4,12,40,52,25,7,7,14,19,9
Golden State Warriors,GSW vs. HOU,2016-04-16,W,240,104,39,91,42.9,10,25,40.0,16,24,66.7,15,38,53,26,10,7,18,22,26
Miami Heat,MIA vs. TOR,2016-05-13,W,240,103,40,84,47.6,7,21,33.3,16,20,80.0,7,34,41,15,2,6,7,18,12
LA Clippers,LAC @ POR,2016-04-29,L,240,103,39,87,44.8,4,16,25.0,21,31,67.7,16,30,46,15,8,1,9,24,-3
Atlanta Hawks,ATL @ BOS,2016-04-22,L,240,103,38,86,44.2,9,36,25.0,18,21,85.7,7,34,41,19,10,7,14,24,-8
Charlotte Hornets,CHA @ MIA,2016-04-20,L,240,103,38,89,42.7,1,16,6.3,26,33,78.8,15,24,39,9,3,1,8,16,-12
Golden State Warriors,GSW vs. OKC,2016-05-16,L,240,102,40,91,44.0,11,30,36.7,11,17,64.7,8,36,44,26,8,4,14,22,-6
